timestamp,people,dogs,other
1670034315000,5,10,4
1670038504000,5,3,1
1670054061000,9,6,1
1670062048000,0,4,5
1670067842000,7,7,6
1670082453000,1,10,10
1670097008000,1,0,10
1670105397000,3,10,10
1670106609000,10,1,9
1670108550000,10,2,6
1670114556000,6,2,2
1670122596000,5,1,0
1670124888000,7,1,7
1670125350000,0,7,3
1670143002000,6,6,9
1670151204000,7,5,9
1670155905000,4,4,6
1670160585000,3,2,6
1670169265000,0,0,0
1670170494000,7,8,2
1670176884000,5,7,10
1670181860000,0,5,1
1670184474000,0,9,10
1670184625000,6,1,0
1670185928000,4,0,7
1670188861000,6,2,7
1670192209270,1,0,0
1670192214284,1,2,0
1670192290812,1,0,0
1670192295832,2,2,0
1670192296060,1,1,0
1670192300819,4,2,0
1670192305850,3,1,0
1670192306117,1,1,0
1670192310830,1,3,0
1670192311102,1,2,0
1670192311364,1,3,0
1670192320849,4,4,0
1670192691812,3,3,0
1670192692236,2,2,0
1670192696831,2,1,0
1670192701860,1,0,0
1670192706841,5,0,0
1670192711835,4,0,0
1670192716848,2,1,0
1670192717104,2,2,0
1670192717366,2,0,0
1670192721836,1,1,0
1670192722092,0,2,0
1670192722345,1,1,0
1670193384660.2522,0,0,0
1670193385054.8796,0,0,0
1670193389650.3047,1,2,0
1670193389993.9062,1,1,0
1670218042023.5312,1,0,0
1670218047027.0298,1,0,0
1670218404070.4216,0,0,0
